epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,616.411,1.2084,1.29477,0.02879,0.93236,0.9474,0.98112,0.74359,0.93424,0.36852,0.03068,0.000231071,0.000231071,0.000231071
105,623.722,1.2303,1.23037,0.02988,0.94205,0.95745,0.9819,0.74354,0.92897,0.34876,0.03043,0.000222497,0.000222497,0.000222497
106,631.306,1.17287,1.17517,0.02798,0.92883,0.93197,0.97776,0.77393,0.82417,0.33958,0.02635,0.000214046,0.000214046,0.000214046
107,637.037,1.21682,1.2706,0.02842,0.89798,0.96609,0.97659,0.76363,0.8626,0.361,0.02806,0.000205723,0.000205723,0.000205723
108,642.512,1.2131,1.18036,0.02823,0.93938,0.92036,0.97879,0.73829,0.94481,0.3727,0.03161,0.000197532,0.000197532,0.000197532
109,648.25,1.19929,1.15806,0.02806,0.95935,0.95487,0.98102,0.71846,1.04253,0.37075,0.03548,0.000189475,0.000189475,0.000189475
110,653.75,1.16513,1.18398,0.02714,0.94214,0.94408,0.97993,0.72886,0.99821,0.37563,0.03334,0.000181557,0.000181557,0.000181557
111,659.793,1.18722,1.22799,0.0283,0.94385,0.93824,0.98377,0.77122,0.86951,0.33614,0.02808,0.00017378,0.00017378,0.00017378
112,665.243,1.207,1.22166,0.02918,0.95947,0.95973,0.98526,0.78498,0.81298,0.32511,0.02595,0.000166149,0.000166149,0.000166149
113,670.656,1.20251,1.22791,0.02888,0.9727,0.94356,0.98634,0.76482,0.86673,0.33728,0.02806,0.000158667,0.000158667,0.000158667
114,676.447,1.24613,1.2105,0.03024,0.96386,0.9374,0.98371,0.73883,0.96832,0.35808,0.03207,0.000151336,0.000151336,0.000151336
115,681.915,1.24173,1.24538,0.029,0.94884,0.98855,0.99035,0.73002,1.04004,0.34024,0.03483,0.000144161,0.000144161,0.000144161
116,687.547,1.18289,1.20652,0.02785,0.93379,0.94766,0.98413,0.73765,0.98797,0.34793,0.03269,0.000137143,0.000137143,0.000137143
117,693.355,1.20264,1.23176,0.02831,0.96272,0.92362,0.98454,0.74238,0.92182,0.33664,0.02992,0.000130287,0.000130287,0.000130287
118,698.929,1.19704,1.16451,0.02806,0.93374,0.95918,0.98509,0.75598,0.89273,0.32572,0.02891,0.000123596,0.000123596,0.000123596
119,704.896,1.20639,1.24154,0.0284,0.96661,0.94564,0.98476,0.74608,0.91235,0.32591,0.03002,0.000117072,0.000117072,0.000117072
120,710.497,1.22855,1.27448,0.02993,0.92972,0.98449,0.98859,0.74383,0.9513,0.32909,0.0317,0.000110718,0.000110718,0.000110718
121,716.286,1.1796,1.17823,0.02756,0.97905,0.96303,0.98847,0.74614,0.95483,0.32556,0.03196,0.000104537,0.000104537,0.000104537
122,722.59,1.1693,1.21892,0.02798,0.92077,0.98086,0.98717,0.75717,0.8961,0.33595,0.02935,9.85311e-05,9.85311e-05,9.85311e-05
123,729.584,1.23058,1.12927,0.02918,0.94585,0.97457,0.98786,0.76699,0.88582,0.32646,0.02878,9.2704e-05,9.2704e-05,9.2704e-05
124,737.274,1.13042,1.27074,0.02673,0.94444,0.95418,0.98593,0.76843,0.8692,0.32481,0.02808,8.70577e-05,8.70577e-05,8.70577e-05
125,744.1,1.15934,1.15505,0.02684,0.96458,0.93038,0.98579,0.76475,0.88742,0.32873,0.02865,8.15947e-05,8.15947e-05,8.15947e-05
126,749.806,1.14972,1.20076,0.02709,0.92991,0.96445,0.98735,0.76548,0.90669,0.32442,0.02941,7.63174e-05,7.63174e-05,7.63174e-05
127,755.344,1.17419,1.22181,0.0282,0.95375,0.95801,0.98735,0.76688,0.89738,0.32738,0.0292,7.12282e-05,7.12282e-05,7.12282e-05
128,760.839,1.16824,1.09242,0.02739,0.91549,0.97415,0.98444,0.7672,0.90573,0.32815,0.02985,6.63292e-05,6.63292e-05,6.63292e-05
129,766.786,1.18431,1.28505,0.02751,0.94658,0.93038,0.9847,0.75707,0.92992,0.34382,0.03106,6.16227e-05,6.16227e-05,6.16227e-05
130,772.11,1.20303,1.22293,0.02858,0.9229,0.98847,0.98891,0.76719,0.90822,0.32135,0.03025,5.71106e-05,5.71106e-05,5.71106e-05
131,777.54,1.1647,1.19883,0.02835,0.92348,0.98667,0.98782,0.77451,0.8715,0.31778,0.02876,5.2795e-05,5.2795e-05,5.2795e-05
132,783.256,1.18625,1.36481,0.02811,0.9288,0.97703,0.98906,0.78257,0.85272,0.30858,0.02808,4.86777e-05,4.86777e-05,4.86777e-05
133,788.989,1.13278,1.20916,0.02659,0.92343,0.96895,0.98886,0.77899,0.85495,0.31373,0.02801,4.47606e-05,4.47606e-05,4.47606e-05
134,794.763,1.21289,1.27219,0.02892,0.95456,0.99764,0.99163,0.78954,0.83648,0.29495,0.02726,4.10454e-05,4.10454e-05,4.10454e-05
